player_a,player_b,player_a_ranking,player_b_ranking,ranking_difference,player_a_recent_win_rate,player_b_recent_win_rate,player_a_wins
Yoshihito Nishioka,Lorenzo Sonego,32.0,48.0,16.0,0.4,0.6,0
Juan Pablo Varillas,Sebastian Baez,97.0,40.0,-57.0,0.4,0.4,0
Roman Safiullin,Tallon Griekspoor,36.0,31.0,-5.0,0.6,0.5,0
Sebastian Baez,Jannik Sinner,29.0,4.0,-25.0,0.8,0.9,0
Tomas Martin Etcheverry,Hubert Hurkacz,28.0,9.0,-19.0,0.7,0.7,0
Carlos Alcaraz,Felix Auger Aliassime,1.0,13.0,12.0,0.9,0.6,0
Jiri Vesely,Brandon Nakashima,79.0,68.0,-11.0,0.2,0.6,0
Daniil Medvedev,Adrian Mannarino,5.0,44.0,39.0,0.6,0.4,1
Lloyd Harris,Quentin Halys,167.0,110.0,-57.0,0.3,0.3,0
Karen Khachanov,Sebastian Baez,19.0,40.0,21.0,0.6,0.1,1
Taylor Fritz,Francisco Cerundolo,8.0,23.0,15.0,0.6,0.7,0
Daniil Medvedev,Sebastian Baez,3.0,32.0,29.0,0.7,1.0,1
Kamil Majchrzak,Richard Gasquet,81.0,75.0,-6.0,0.6,0.6,0
Christopher Oconnell,Hugo Gaston,175.0,67.0,-108.0,0.3,0.5,1
Grigor Dimitrov,Denis Shapovalov,18.0,21.0,3.0,0.5,0.1,0
Hugo Dellien,Alex De Minaur,80.0,27.0,-53.0,0.3,0.5,0
Jozef Kovalik,Holger Rune,145.0,13.0,-132.0,0.5,0.7,0
Laslo Djere,Denis Shapovalov,51.0,14.0,-37.0,0.4,0.8,0
Arthur Rinderknech,Alexandre Muller,82.0,84.0,2.0,0.4,0.5,0
Cristian Garin,Dusan Lajovic,17.0,33.0,16.0,0.3,0.3,1
Marc Andrea Huesler,Pedro Martinez,51.0,120.0,69.0,0.4,0.3,0
Pavel Kotov,Tallon Griekspoor,59.0,37.0,-22.0,0.3,0.5,0
Borna Gojo,Maximilian Marterer,112.0,170.0,58.0,0.5,0.3,0
Luca Nardi,Sebastian Korda,73.0,26.0,-47.0,0.4,0.6,0
Novak Djokovic,Daniil Medvedev,5.0,7.0,2.0,0.9,0.6,1
Pablo Carreno Busta,Filip Krajinovic,20.0,42.0,22.0,0.6,0.3,1
Pedro Martinez,Cristian Garin,72.0,103.0,31.0,0.4,0.2,0
Jack Sock,Ilya Ivashka,141.0,74.0,-67.0,0.4,0.5,1
Alexander Shevchenko,Benjamin Bonzi,56.0,126.0,70.0,0.6,0.2,1
Carlos Alcaraz,Albert Ramos,2.0,72.0,70.0,1.0,0.2,1
Michael Mmoh,Filip Krajinovic,113.0,54.0,-59.0,0.3,0.5,0
Richard Gasquet,Borna Gojo,43.0,121.0,78.0,0.5,0.6,1
Aslan Karatsev,Mackenzie Mcdonald,86.0,76.0,-10.0,0.4,0.3,1
Harold Mayot,Christopher Oconnell,114.0,94.0,-20.0,0.3,0.3,0
Steve Johnson,Jannik Sinner,104.0,10.0,-94.0,0.5,0.7,0
Alexander Bublik,Fabio Fognini,32.0,147.0,115.0,0.6,0.5,0
Matteo Berrettini,Daniil Medvedev,7.0,2.0,-5.0,0.7,0.9,0
Cameron Norrie,Taylor Fritz,8.0,12.0,4.0,0.6,0.5,0
